% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
74 +1.064023816e+06 +1.064023816e+06 +1.063968876e+06 +1.063968876e+06 -6.2477e-01 -8.9570e-01 -9.8100e-02 -3.5096e-01 +1.4561e+00 +5.5444e-01 +6.3775e-01 +5.9663e-02 -1.4358e+00 +1.2133e+00 -2.0604e-01 +3.1931e-01 +1.5353e-01 -1.3012e-01 -2.2508e-01 +8.7586e-01 +8.4106e-01 +9.4444e-01 -5.6960e-02 -4.2190e-01
86 +1.045296353e+06 +1.045296353e+06 +1.045241413e+06 +1.045241413e+06 -6.4075e-01 -1.1135e+00 -1.3262e-01 -2.9868e-01 +1.5722e+00 +8.3575e-01 +7.2063e-01 +4.3679e-01 -1.5233e+00 +8.2783e-01 -5.4507e-02 +4.4179e-01 -7.5137e-02 -4.3060e-01 -3.3275e-01 +7.9639e-01 +8.9696e-01 +1.1367e+00 -1.9946e-01 -2.9841e-01
89 +9.949936867e+05 +9.949936867e+05 +9.949387467e+05 +9.949387467e+05 -5.7124e-01 -1.0694e+00 -2.7228e-01 -3.6960e-01 +1.4142e+00 +6.4170e-01 +3.3974e-01 +1.1799e-01 -1.5117e+00 +9.5217e-01 -1.8309e-01 +6.4247e-01 +6.5185e-02 -7.1907e-01 -4.2829e-01 +6.3836e-01 +6.8957e-01 +1.3081e+00 -3.3792e-01 -3.5030e-02
92 +9.438295351e+05 +9.438295351e+05 +9.437745951e+05 +9.437745951e+05 -7.5591e-01 -5.5815e-01 -7.1672e-02 -6.2802e-01 +1.3485e+00 +5.5962e-01 +2.4344e-01 +8.6085e-02 -1.8037e+00 +5.6041e-01 -1.7372e-01 +5.9578e-01 -7.4684e-02 -1.4262e-02 -5.2981e-01 +6.1051e-01 +1.0734e+00 +1.1764e+00 -9.3220e-03 +9.6087e-02
105 +8.142403221e+05 +8.142403221e+05 +8.141853821e+05 +8.141853821e+05 -7.6676e-01 -5.0913e-01 -3.4062e-01 -3.6511e-01 +1.4363e+00 +1.1957e+00 -2.9798e-02 +3.1552e-01 -2.1321e+00 +2.8091e-01 +1.1366e-02 +8.1940e-01 -6.9394e-02 -1.7404e-01 -2.6554e-01 +5.4934e-01 +1.0042e+00 +1.2135e+00 +2.4522e-01 -1.2536e-01
115 +7.625662424e+05 +7.625662424e+05 +7.625113024e+05 +7.625113024e+05 -1.5259e+00 -1.2193e+00 -3.8882e-01 -8.6981e-02 +1.3138e+00 +8.2198e-01 -2.2272e-01 +8.5266e-01 -1.2000e+00 +6.6790e-01 -3.9856e-01 +7.3868e-01 +1.2369e-01 -8.7689e-01 -4.1703e-01 +1.9874e-01 +9.7118e-01 +9.7745e-01 +5.3040e-02 -1.9086e-01
122 +7.432473405e+05 +7.432473405e+05 +7.431924005e+05 +7.431924005e+05 -1.5884e+00 -1.3152e+00 -8.1804e-01 -3.3188e-01 +1.2414e+00 +6.3663e-01 -5.9739e-01 +5.6308e-01 -1.6962e+00 +1.2039e-01 -5.7518e-01 +4.4231e-01 -4.6991e-01 -6.7563e-01 -5.4642e-01 +2.8432e-01 +7.5577e-01 +1.0705e+00 +2.5906e-02 -1.9230e-01
127 +6.648050240e+05 +6.648050240e+05 +6.647500840e+05 +6.647500840e+05 -1.6966e+00 -9.0401e-01 -7.3957e-01 +4.3092e-01 +1.3124e+00 +1.0453e+00 -6.1672e-01 +6.7648e-01 -1.5387e+00 +4.2762e-01 -5.2871e-01 +9.9758e-01 -9.9625e-02 -7.9510e-01 -1.5097e-01 +4.3248e-02 +8.3367e-01 +9.4465e-01 -8.0774e-02 -3.0874e-01
135 +6.570026051e+05 +6.570026051e+05 +6.569476651e+05 +6.569476651e+05 -1.7896e+00 -1.1197e+00 -1.0127e+00 +2.3399e-01 +1.1343e+00 +4.9447e-01 -4.1330e-01 +4.0269e-01 -1.8110e+00 -1.9524e-01 -4.9255e-01 +7.2876e-01 -4.1054e-01 -6.0358e-01 -3.7929e-01 +3.9858e-01 +6.2864e-01 +1.1729e+00 +1.3531e-01 -4.9818e-01
142 +5.328424529e+05 +5.328424529e+05 +5.327875129e+05 +5.327875129e+05 -1.4549e+00 -1.3848e+00 -1.3254e+00 -1.7572e-02 +1.2849e+00 +4.8557e-01 -4.8383e-01 +7.2537e-01 -2.2958e+00 +1.4530e-01 -3.5421e-01 +8.6575e-01 -4.4671e-01 -7.9588e-02 -4.4855e-01 +5.2456e-01 +7.3711e-01 +9.7213e-01 +1.2751e-01 -1.0658e-01
154 +4.782845929e+05 +4.782845929e+05 +4.782296529e+05 +4.782296529e+05 -1.5947e+00 -9.0017e-01 -1.2942e+00 +7.2174e-01 +1.7833e+00 +1.0106e+00 +1.4301e-01 +7.9489e-01 -2.3380e+00 -2.6184e-01 -4.8675e-01 +6.7148e-01 -2.2625e-01 -5.4903e-01 -5.1400e-01 -3.9023e-02 +5.5218e-01 +6.9084e-01 +8.7467e-01 -2.3673e-01
166 +4.307322409e+05 +4.307322409e+05 +4.306773009e+05 +4.306773009e+05 -2.1630e+00 -1.6391e+00 -1.8341e+00 +6.7709e-01 +1.9613e+00 +7.2632e-01 -2.9634e-02 +5.0647e-01 -1.8066e+00 -1.5584e-01 -3.4763e-01 +4.3718e-01 -4.9388e-01 -3.8035e-01 -7.8745e-01 +3.0636e-03 +4.2494e-01 +1.9361e-01 +1.0259e+00 +1.3849e-01
179 +3.982777122e+05 +3.982777122e+05 +3.982227722e+05 +3.982227722e+05 -2.0207e+00 -1.1425e+00 -1.8569e+00 +6.6588e-01 +2.1409e+00 +7.3142e-01 -2.6492e-01 +6.1169e-01 -1.9962e+00 -1.2638e+00 -8.9242e-01 +3.0599e-01 -3.3276e-01 -3.1096e-01 -5.2678e-01 -3.6021e-01 +9.2974e-01 +4.2038e-01 +1.0441e+00 +3.4801e-01
181 +3.815445939e+05 +3.815445939e+05 +3.814896539e+05 +3.814896539e+05 -1.8441e+00 -1.6802e+00 -2.1565e+00 +5.4106e-01 +1.8471e+00 +8.2381e-01 -9.1915e-01 +4.9510e-01 -1.5313e+00 -6.3924e-01 -5.0968e-01 +4.9401e-01 +1.7663e-01 -5.9889e-01 -6.3599e-01 +2.9566e-01 +3.4647e-01 +3.8081e-01 +7.9010e-01 -2.4887e-01
184 +3.492522545e+05 +3.492522545e+05 +3.491973145e+05 +3.491973145e+05 -1.9742e+00 -1.5326e+00 -2.1174e+00 +2.8912e-01 +2.1349e+00 +8.4212e-01 -8.9450e-01 +6.5881e-01 -1.8875e+00 -3.9229e-01 -4.6192e-01 +3.9690e-01 -2.0154e-01 -4.6098e-01 +4.1942e-02 +2.4898e-01 +8.5020e-01 +4.2609e-01 +1.1607e+00 +3.8132e-01
192 +3.372627774e+05 +3.372627774e+05 +3.372078374e+05 +3.372078374e+05 -2.0304e+00 -1.7176e+00 -2.2586e+00 +3.4587e-01 +2.2177e+00 +7.7888e-01 -8.7720e-01 +5.2930e-01 -2.0330e+00 -1.4376e-01 -6.9082e-01 +4.5988e-01 -7.7214e-02 -8.2428e-01 -4.6618e-01 +5.7085e-01 +4.7618e-01 +6.1513e-02 +8.5945e-01 +3.6865e-01
205 +2.828480519e+05 +2.828480519e+05 +2.827931119e+05 +2.827931119e+05 -2.0336e+00 -1.5923e+00 -2.2086e+00 +1.0355e+00 +1.8306e+00 +8.4394e-01 -8.1104e-01 +9.0697e-01 -2.2512e+00 +3.1876e-01 -3.3008e-01 +4.0398e-01 -8.6440e-01 -1.0576e+00 -2.5665e-01 -8.1804e-03 +9.3865e-01 +5.2948e-02 +7.3595e-01 +3.6443e-01
237 +2.479021354e+05 +2.479021354e+05 +2.478471954e+05 +2.478471954e+05 -1.4724e+00 -1.3933e+00 -2.4712e+00 +1.3097e+00 +1.3313e+00 +7.8302e-01 +1.3938e-01 +9.6638e-01 -2.5661e+00 +6.8129e-02 -2.4658e-01 +7.3584e-01 -1.1182e+00 -1.2832e+00 -8.0060e-01 +8.9680e-01 +1.9019e+00 +6.3354e-01 +5.2153e-01 +5.1753e-01
238 +1.847704660e+05 +1.847704660e+05 +1.847155260e+05 +1.847155260e+05 -1.2184e+00 -1.2548e+00 -3.2469e+00 +1.7691e+00 +1.8258e+00 +6.5913e-01 -1.8357e-01 +5.9109e-01 -2.8260e+00 +1.1053e-01 -4.6050e-02 +8.3812e-02 -1.1696e+00 -1.4971e+00 -6.0362e-01 +5.1220e-01 +1.5369e+00 +2.2491e-01 +7.5382e-01 +2.4871e-01
264 +1.356600161e+05 +1.356600161e+05 +1.356050761e+05 +1.356050761e+05 -1.6013e+00 -1.4326e+00 -3.0681e+00 +2.7761e+00 +1.3938e+00 +8.1790e-01 -3.6152e-01 +3.6854e-01 -2.5061e+00 +1.0962e-01 -9.6826e-02 +3.0071e-01 -1.3261e+00 -1.3329e+00 -5.1362e-01 +7.0791e-01 +1.9418e+00 +3.8825e-01 +5.4009e-01 +5.0118e-01
298 +9.827352588e+04 +9.827352588e+04 +9.821858588e+04 +9.821858588e+04 -1.4562e+00 -1.0170e+00 -3.0021e+00 +2.9489e+00 +1.7197e+00 +8.7614e-01 +1.9642e-01 -1.7748e-01 -2.6818e+00 -4.7740e-02 -1.2984e-01 +2.5237e-02 -1.2214e+00 -1.2023e+00 -1.1149e-01 +5.5052e-01 +2.2880e+00 +7.9605e-01 +1.1977e+00 +7.5369e-01
313 +8.878421016e+04 +8.878421016e+04 +8.872927016e+04 +8.872927016e+04 -1.6306e+00 -1.2301e+00 -3.3735e+00 +2.9741e+00 +1.4590e+00 +6.0127e-01 -1.0122e-01 -1.0066e-01 -2.6260e+00 +7.6918e-01 +7.0097e-01 +1.1026e-01 -1.3000e+00 -1.3050e+00 +2.2716e-01 +5.1303e-01 +2.5610e+00 +1.0402e+00 +1.1590e+00 +7.2579e-01
502 +8.079347526e+04 +8.079347526e+04 +8.073853526e+04 +8.073853526e+04 -2.0686e+00 -1.7333e+00 -3.1346e+00 +3.3908e+00 +1.9681e+00 +4.3910e-01 -1.2169e-01 -2.3380e-01 -2.7187e+00 +1.4062e-01 -2.8159e-01 +5.5771e-01 -1.1052e+00 -5.3030e-01 +1.5742e-01 +1.7095e-01 +2.3481e+00 +7.3525e-01 +1.8135e+00 +1.2074e+00
672 +7.815787189e+04 +7.815787189e+04 +7.810293189e+04 +7.810293189e+04 -2.4344e+00 -1.8209e+00 -3.2937e+00 +3.1102e+00 +2.1205e+00 +8.0275e-01 -5.7237e-01 -1.0028e+00 -2.9017e+00 +2.6383e-02 +1.7790e-01 +2.8700e-01 -6.1117e-01 -6.6292e-01 +6.5710e-02 -2.0297e-01 +1.9004e+00 -3.8351e-01 +1.2838e+00 +1.0746e+00
772 +7.238388056e+04 +7.238388056e+04 +7.232894056e+04 +7.232894056e+04 -2.3125e+00 -1.7927e+00 -3.1031e+00 +2.7271e+00 +2.6010e+00 +8.1918e-01 -5.7565e-01 -5.3021e-01 -2.4825e+00 +2.7532e-01 +8.4598e-01 +6.2164e-01 -4.4657e-01 -1.2492e+00 -2.8874e-02 +1.2044e-01 +2.0689e+00 -5.2442e-01 +1.4066e+00 +8.7778e-01
794 +6.495480279e+04 +6.495480279e+04 +6.489986279e+04 +6.489986279e+04 -2.3618e+00 -1.6266e+00 -3.1521e+00 +2.7533e+00 +2.5440e+00 +9.0018e-01 -5.5316e-01 -6.3514e-01 -2.5344e+00 -6.1813e-02 +8.9278e-01 +6.7149e-01 -8.8122e-02 -1.3505e+00 +6.4767e-02 +3.6309e-01 +2.1272e+00 -5.2298e-01 +1.1028e+00 +1.0435e+00
812 +6.094264684e+04 +6.094264684e+04 +6.088770684e+04 +6.088770684e+04 -2.2089e+00 -1.5588e+00 -3.0879e+00 +2.7774e+00 +2.5798e+00 +9.4013e-01 -5.7452e-01 -6.2657e-01 -2.6584e+00 +1.4680e-02 +8.8551e-01 +6.6125e-01 +2.9949e-02 -1.6482e+00 +4.8989e-02 +2.7361e-01 +2.1498e+00 -3.7494e-01 +1.5808e+00 +9.9764e-01
917 +5.159756638e+04 +5.159756638e+04 +5.154262638e+04 +5.154262638e+04 -2.6338e+00 -1.5686e+00 -3.3316e+00 +3.0727e+00 +2.6894e+00 +1.8015e+00 -6.2234e-01 -6.9437e-01 -2.4924e+00 -9.6659e-02 +6.2730e-01 +9.1476e-01 +7.6170e-01 -1.4356e+00 +1.6572e-01 -5.3147e-02 +2.2317e+00 -9.0225e-01 +1.4722e+00 +1.3371e+00
949 +5.117586856e+04 +5.117586856e+04 +5.112092856e+04 +5.112092856e+04 -2.3034e+00 -1.5944e+00 -3.4814e+00 +2.6755e+00 +2.9450e+00 +1.7014e+00 -1.1280e+00 -8.2982e-01 -2.5998e+00 -1.2633e-01 +6.9745e-01 +6.3554e-01 +7.6068e-01 -1.2428e+00 +2.6929e-01 +1.4561e-01 +2.0644e+00 -8.1462e-01 +1.6764e+00 +1.3076e+00
1190 +4.801884967e+04 +4.801884967e+04 +4.796390967e+04 +4.796390967e+04 -2.2196e+00 -2.0902e+00 -3.2152e+00 +2.7426e+00 +3.1260e+00 +1.1534e+00 -1.2412e+00 -4.8194e-01 -3.3354e+00 +3.4649e-02 +1.3901e+00 +9.8238e-01 -9.8180e-03 -1.0693e+00 +9.5828e-01 +2.3023e-02 +2.0688e+00 -8.2534e-01 +2.0546e+00 +1.1601e+00
1317 +4.513297900e+04 +4.513297900e+04 +4.507803900e+04 +4.507803900e+04 -2.1633e+00 -1.8573e+00 -3.1206e+00 +2.8842e+00 +3.2002e+00 +9.6818e-01 -1.0792e+00 +3.2916e-02 -3.3940e+00 -2.3347e-02 +1.4760e+00 +8.8901e-01 -3.4331e-01 -1.8240e+00 +7.7812e-01 +4.0318e-01 +2.3889e+00 -1.0334e+00 +2.0309e+00 +1.2613e+00
1394 +4.437257499e+04 +4.437257499e+04 +4.431763499e+04 +4.431763499e+04 -2.0471e+00 -1.9943e+00 -3.4965e+00 +2.5879e+00 +3.1597e+00 +9.3764e-01 -9.7826e-01 -4.3373e-01 -3.2249e+00 -4.1700e-01 +2.1355e+00 +8.1897e-01 -3.4103e-01 -2.1917e+00 +5.5581e-01 +1.9346e-01 +2.2350e+00 -1.1641e+00 +1.4584e+00 +1.3630e+00
1477 +4.237647549e+04 +4.237647549e+04 +4.232153549e+04 +4.232153549e+04 -2.2876e+00 -1.8173e+00 -3.1825e+00 +2.5654e+00 +3.5911e+00 +1.1092e+00 -8.0189e-01 -1.2774e+00 -3.4662e+00 -4.3482e-01 +2.3331e+00 +8.1800e-01 -2.1857e-01 -2.3706e+00 +8.9204e-01 +1.4218e-01 +2.3083e+00 -1.7777e+00 +1.4556e+00 +1.5649e+00
1522 +4.072197339e+04 +4.072197339e+04 +4.066703339e+04 +4.066703339e+04 -2.1139e+00 -1.9700e+00 -3.6216e+00 +2.5339e+00 +3.9120e+00 +1.2854e+00 -9.7958e-01 -1.2713e+00 -3.3138e+00 -8.3544e-01 +2.5445e+00 +1.0117e+00 +1.8888e-01 -2.4601e+00 +8.0132e-01 -1.0427e-01 +2.2654e+00 -2.0068e+00 +1.5056e+00 +1.7445e+00
1590 +3.863591459e+04 +3.863591459e+04 +3.858097459e+04 +3.858097459e+04 -2.0053e+00 -1.9165e+00 -3.4007e+00 +2.5181e+00 +3.9921e+00 +1.2034e+00 -8.9870e-01 -1.2224e+00 -3.2981e+00 -8.5593e-01 +2.6000e+00 +9.8469e-01 +2.4042e-01 -2.7533e+00 +5.4061e-01 +3.1783e-01 +2.2679e+00 -2.0290e+00 +1.3098e+00 +1.8637e+00
1596 +3.710717397e+04 +3.710717397e+04 +3.705223397e+04 +3.705223397e+04 -2.0408e+00 -1.9789e+00 -3.4640e+00 +2.4590e+00 +3.9014e+00 +1.2553e+00 -8.1538e-01 -1.1184e+00 -3.3790e+00 -8.2458e-01 +2.7261e+00 +1.0300e+00 +3.4075e-01 -2.6979e+00 +5.0454e-01 +3.7092e-01 +2.2076e+00 -2.0864e+00 +1.2464e+00 +1.7097e+00
1608 +3.407775612e+04 +3.407775612e+04 +3.402281612e+04 +3.402281612e+04 -2.0322e+00 -1.9692e+00 -3.4679e+00 +2.4972e+00 +3.9368e+00 +1.2133e+00 -8.7828e-01 -1.1916e+00 -3.3318e+00 -7.8345e-01 +2.5895e+00 +9.5129e-01 +3.9536e-01 -2.6437e+00 +6.9321e-01 +5.1889e-01 +2.1924e+00 -2.0411e+00 +1.2764e+00 +1.7887e+00
1649 +3.347906433e+04 +3.347906433e+04 +3.342412433e+04 +3.342412433e+04 -2.0402e+00 -1.9473e+00 -3.4563e+00 +2.5223e+00 +3.8619e+00 +1.3791e+00 -7.8394e-01 -1.1940e+00 -3.3910e+00 -7.9059e-01 +2.6146e+00 +9.6052e-01 +2.0759e-01 -2.6926e+00 +6.3286e-01 +4.8903e-01 +2.2050e+00 -2.0930e+00 +1.1316e+00 +1.7853e+00
1664 +3.267583341e+04 +3.267583341e+04 +3.262089341e+04 +3.262089341e+04 -2.0797e+00 -1.9801e+00 -3.4758e+00 +2.5602e+00 +3.8259e+00 +1.3603e+00 -8.9711e-01 -1.1844e+00 -3.3861e+00 -7.5288e-01 +2.7299e+00 +9.5761e-01 +2.6634e-01 -2.7531e+00 +5.1719e-01 +3.9719e-01 +2.2024e+00 -2.2224e+00 +1.1767e+00 +1.7664e+00
1670 +3.225786424e+04 +3.225786424e+04 +3.220292424e+04 +3.220292424e+04 -2.0318e+00 -1.9764e+00 -3.4306e+00 +2.5489e+00 +3.8011e+00 +1.3740e+00 -8.5936e-01 -1.2141e+00 -3.3735e+00 -7.1107e-01 +2.5331e+00 +9.2727e-01 +2.7156e-01 -2.7593e+00 +5.8925e-01 +4.7776e-01 +2.1001e+00 -2.1721e+00 +1.2428e+00 +1.7439e+00
1686 +3.081685162e+04 +3.081685162e+04 +3.076191162e+04 +3.076191162e+04 -2.0795e+00 -1.9670e+00 -3.4623e+00 +2.5680e+00 +3.8541e+00 +1.3221e+00 -9.0404e-01 -1.2393e+00 -3.4548e+00 -7.2859e-01 +2.7045e+00 +9.2982e-01 +2.6735e-01 -2.8158e+00 +6.0657e-01 +3.9489e-01 +2.2107e+00 -2.2837e+00 +1.2077e+00 +1.7924e+00
1702 +2.961586110e+04 +2.961586110e+04 +2.956092110e+04 +2.956092110e+04 -2.0889e+00 -1.9347e+00 -3.4538e+00 +2.6151e+00 +3.8624e+00 +1.3563e+00 -9.5057e-01 -1.1992e+00 -3.4510e+00 -6.6743e-01 +2.6127e+00 +1.0004e+00 +4.4674e-01 -2.7452e+00 +6.6583e-01 +4.5549e-01 +2.2313e+00 -2.3667e+00 +1.1919e+00 +1.7513e+00
1789 +2.907139596e+04 +2.907139596e+04 +2.901645596e+04 +2.901645596e+04 -2.0518e+00 -1.9644e+00 -3.5227e+00 +2.6169e+00 +3.8784e+00 +1.4198e+00 -1.1357e+00 -1.0905e+00 -3.4682e+00 -5.4806e-01 +2.5321e+00 +1.0101e+00 +5.4123e-01 -2.8574e+00 +6.1105e-01 +4.0789e-01 +2.1794e+00 -2.5163e+00 +1.2669e+00 +1.7395e+00
1829 +2.869905628e+04 +2.869905628e+04 +2.864411628e+04 +2.864411628e+04 -2.0435e+00 -1.9821e+00 -3.4908e+00 +2.6638e+00 +3.9921e+00 +1.3485e+00 -1.0926e+00 -1.1074e+00 -3.4693e+00 -5.4315e-01 +2.5564e+00 +9.8038e-01 +5.4454e-01 -2.9430e+00 +6.2644e-01 +4.4782e-01 +2.1525e+00 -2.6353e+00 +1.3129e+00 +1.7538e+00
1839 +2.746400909e+04 +2.746400909e+04 +2.740906909e+04 +2.740906909e+04 -2.0687e+00 -1.9551e+00 -3.4605e+00 +2.6446e+00 +3.9564e+00 +1.3638e+00 -1.1126e+00 -9.9273e-01 -3.5012e+00 -5.0658e-01 +2.4439e+00 +9.8558e-01 +5.3423e-01 -2.8870e+00 +6.6751e-01 +5.0940e-01 +2.1773e+00 -2.6055e+00 +1.2693e+00 +1.7945e+00
1860 +2.678590456e+04 +2.678590456e+04 +2.673096456e+04 +2.673096456e+04 -2.0974e+00 -1.9517e+00 -3.4583e+00 +2.6267e+00 +4.0061e+00 +1.4208e+00 -1.0336e+00 -1.1795e+00 -3.5106e+00 -5.3911e-01 +2.4432e+00 +9.7600e-01 +5.4844e-01 -2.9175e+00 +6.4974e-01 +5.2041e-01 +2.1049e+00 -2.6196e+00 +1.2630e+00 +1.8047e+00
1900 +2.625539310e+04 +2.625539310e+04 +2.620045310e+04 +2.620045310e+04 -2.0531e+00 -1.9824e+00 -3.4456e+00 +2.6217e+00 +3.9856e+00 +1.3909e+00 -1.1288e+00 -1.0858e+00 -3.5328e+00 -5.0922e-01 +2.3982e+00 +9.9483e-01 +6.0072e-01 -2.9032e+00 +6.3965e-01 +5.0765e-01 +2.0888e+00 -2.5971e+00 +1.2952e+00 +1.8890e+00
1915 +2.550439997e+04 +2.550439997e+04 +2.544945997e+04 +2.544945997e+04 -2.0610e+00 -1.9640e+00 -3.3842e+00 +2.6472e+00 +3.9641e+00 +1.3707e+00 -1.1195e+00 -1.1185e+00 -3.5824e+00 -4.7312e-01 +2.4342e+00 +9.8936e-01 +6.3399e-01 -2.9651e+00 +6.7120e-01 +4.8116e-01 +2.0784e+00 -2.5805e+00 +1.3481e+00 +1.8814e+00
