% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
433 +2.162319027e+02 +2.162319027e+02 -2.458580973e+02 -2.458580973e+02 +1.5541e+00 +3.8489e-01 +2.2284e+00 +1.8218e+00 +7.5403e-01 +7.8164e-01 +6.7825e-01 +7.9702e-01 +1.1164e+00 +9.3960e-01 -2.0518e+00 -3.1384e+00 -1.5213e-01 -2.8283e+00 -1.7202e+00 -3.7552e+00 -2.0712e+00 +3.3812e+00 -2.4896e+00 +9.1862e-01
457 +2.099879748e+02 +2.099879748e+02 -2.521020252e+02 -2.521020252e+02 +7.9133e-01 +2.2615e-01 +1.0747e+00 +2.6820e+00 +1.7133e+00 +1.2948e+00 +5.7231e-01 +6.8732e-01 +9.9252e-01 +1.7476e+00 -2.2561e+00 -3.8093e+00 -4.6149e-02 -3.4632e+00 -1.7728e+00 -3.1975e+00 -1.7333e+00 +3.5643e+00 -2.6790e+00 +8.5947e-01
1016 +1.872918461e+02 +1.872918461e+02 -2.747981539e+02 -2.747981539e+02 +1.5267e+00 +1.4897e+00 +3.6112e+00 +4.7442e-01 +2.9944e+00 +1.2218e+00 +1.6935e+00 +2.6718e+00 +3.8804e+00 +1.9165e-01 -3.3444e+00 -5.8658e+00 -5.8750e-01 -2.3967e+00 -1.5283e+00 -3.5239e+00 -4.1651e-01 +2.2138e+00 -2.4373e+00 +2.5334e+00
1115 +1.840539007e+02 +1.840539007e+02 -2.780360993e+02 -2.780360993e+02 +1.3226e+00 +1.3297e+00 +3.4379e+00 -1.8393e-01 +3.7135e+00 +1.5706e+00 +1.8466e+00 +2.5092e+00 +3.6228e+00 +7.7349e-01 -2.7168e+00 -4.2003e+00 -7.3594e-01 -2.7672e+00 -1.2614e+00 -2.9958e+00 +7.4477e-01 +1.9095e+00 -2.5233e+00 +2.0771e+00
1124 +1.814406884e+02 +1.814406884e+02 -2.806493116e+02 -2.806493116e+02 +1.8900e+00 +1.2965e+00 +3.3446e+00 -1.4661e-01 +4.0152e+00 +1.4649e+00 +1.9701e+00 +2.7100e+00 +3.5815e+00 +9.0915e-01 -3.1285e+00 -4.3229e+00 -9.8990e-01 -2.7415e+00 -1.3078e+00 -3.4227e+00 +5.1472e-01 +2.1707e+00 -2.9196e+00 +2.2023e+00
1164 +1.758389019e+02 +1.758389019e+02 -2.862510981e+02 -2.862510981e+02 +1.7336e+00 +1.3108e+00 +3.0223e+00 +1.1983e-01 +3.8239e+00 +1.7851e+00 +1.2586e+00 +2.6588e+00 +3.7016e+00 +8.2117e-01 -3.2410e+00 -4.9503e+00 -1.1920e+00 -3.0498e+00 -1.3253e+00 -3.2135e+00 +6.9951e-01 +2.6043e+00 -2.8106e+00 +1.8255e+00
1199 +1.737588733e+02 +1.737588733e+02 -2.883311267e+02 -2.883311267e+02 +1.6557e+00 +1.1714e+00 +3.1317e+00 -3.2927e-02 +3.9936e+00 +1.4869e+00 +1.3347e+00 +2.5702e+00 +3.4898e+00 +8.0145e-01 -3.1421e+00 -4.2352e+00 -1.1575e+00 -2.9948e+00 -1.3967e+00 -3.2478e+00 +6.4986e-01 +2.2608e+00 -2.8009e+00 +1.7292e+00
1209 +1.590853444e+02 +1.590853444e+02 -3.030046556e+02 -3.030046556e+02 +1.5207e+00 +1.3628e+00 +2.9073e+00 -2.5834e-01 +3.7952e+00 +1.5903e+00 +1.3688e+00 +2.5431e+00 +3.3986e+00 +8.2742e-01 -3.2256e+00 -3.8779e+00 -1.1242e+00 -2.7927e+00 -1.3870e+00 -3.5105e+00 +3.8588e-01 +2.2042e+00 -2.8532e+00 +1.7353e+00
1220 +1.539895504e+02 +1.539895504e+02 -3.081004496e+02 -3.081004496e+02 +1.5034e+00 +1.3065e+00 +3.0358e+00 -7.7077e-03 +3.7321e+00 +1.4861e+00 +1.2945e+00 +2.6362e+00 +3.5624e+00 +8.0930e-01 -3.0468e+00 -4.3027e+00 -1.0320e+00 -2.9021e+00 -1.3016e+00 -3.3887e+00 +4.6239e-01 +2.1736e+00 -2.7560e+00 +1.7628e+00
1241 +1.374528906e+02 +1.374528906e+02 -3.246371094e+02 -3.246371094e+02 +1.4417e+00 +1.2626e+00 +3.0402e+00 -4.6880e-02 +3.6881e+00 +1.3785e+00 +1.2043e+00 +2.5767e+00 +3.5736e+00 +6.1550e-01 -3.2762e+00 -4.1524e+00 -1.1543e+00 -2.9654e+00 -1.2182e+00 -3.4609e+00 +4.7701e-01 +2.1902e+00 -2.7648e+00 +1.6184e+00
