% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1114 +4.989493918e+02 +4.989493918e+02 +6.146293918e+02 +6.146293918e+02
1379 +4.832446651e+02 +4.832446651e+02 +5.989246651e+02 +5.989246651e+02
1429 +4.583448235e+02 +4.583448235e+02 +5.740248235e+02 +5.740248235e+02
1496 +4.545282282e+02 +4.545282282e+02 +5.702082282e+02 +5.702082282e+02
1514 +4.010025035e+02 +4.010025035e+02 +5.166825035e+02 +5.166825035e+02
1687 +3.796265625e+02 +3.796265625e+02 +4.953065625e+02 +4.953065625e+02
1710 +3.483777199e+02 +3.483777199e+02 +4.640577199e+02 +4.640577199e+02
1770 +3.154795220e+02 +3.154795220e+02 +4.311595220e+02 +4.311595220e+02
1843 +3.082235689e+02 +3.082235689e+02 +4.239035689e+02 +4.239035689e+02
1862 +2.935812249e+02 +2.935812249e+02 +4.092612249e+02 +4.092612249e+02
1872 +2.880884698e+02 +2.880884698e+02 +4.037684698e+02 +4.037684698e+02
1880 +2.818086209e+02 +2.818086209e+02 +3.974886209e+02 +3.974886209e+02
1899 +2.752068130e+02 +2.752068130e+02 +3.908868130e+02 +3.908868130e+02
2027 +2.675742625e+02 +2.675742625e+02 +3.832542625e+02 +3.832542625e+02
2067 +2.597599750e+02 +2.597599750e+02 +3.754399750e+02 +3.754399750e+02
2104 +2.568479377e+02 +2.568479377e+02 +3.725279377e+02 +3.725279377e+02
2140 +2.500555814e+02 +2.500555814e+02 +3.657355814e+02 +3.657355814e+02
2220 +2.428285661e+02 +2.428285661e+02 +3.585085661e+02 +3.585085661e+02
2284 +2.385570272e+02 +2.385570272e+02 +3.542370272e+02 +3.542370272e+02
2309 +2.343530503e+02 +2.343530503e+02 +3.500330503e+02 +3.500330503e+02
2321 +2.282339512e+02 +2.282339512e+02 +3.439139512e+02 +3.439139512e+02
2467 +2.231796163e+02 +2.231796163e+02 +3.388596163e+02 +3.388596163e+02
2698 +2.181329356e+02 +2.181329356e+02 +3.338129356e+02 +3.338129356e+02
3306 +2.137307597e+02 +2.137307597e+02 +3.294107597e+02 +3.294107597e+02
% function evaluation | noise-free fitness - Fopt (-3.710000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.350080101e+03 +1.350080101e+03 +1.346370101e+03 +1.346370101e+03
